# Variance report for acetime.acetz.acetz compared to Python 3.9
# zoneinfo.ZoneInfo.
#
# Context
# -------
# AceTimePython Version: 0.5.6
# AceTimePython ZoneDB Version: 2022g
# AceTimePython ZoneDB Start Year: 1900
# AceTimePython ZoneDB Until Year: 10000
# ZoneInfo Version: Python 3.9 2021e
# Report Start Year: 1950
# Report Until Year: 2100
#
# Report Format
# -------------
# Zone {zone_name}
# {seconds}: {date}: {label}: acetz {value}; zoneinfo {value}
# [...]

Zone Africa/Casablanca
3274653540: 2073-10-08 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3274653600: 2073-10-08 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3301869540: 2074-08-19 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3301869600: 2074-08-19 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3305498340: 2074-09-30 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3305498400: 2074-09-30 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3332714340: 2075-08-11 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3332714400: 2075-08-11 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3335738340: 2075-09-15 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3335738400: 2075-09-15 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3362954340: 2076-07-26 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3362954400: 2076-07-26 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3366583140: 2076-09-06 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3366583200: 2076-09-06 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3393799140: 2077-07-18 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3393799200: 2077-07-18 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3397427940: 2077-08-29 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3397428000: 2077-08-29 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3424643940: 2078-07-10 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3424644000: 2078-07-10 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3427667940: 2078-08-14 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3427668000: 2078-08-14 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3454883940: 2079-06-25 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3454884000: 2079-06-25 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3458512740: 2079-08-06 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3458512800: 2079-08-06 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3485728740: 2080-06-16 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3485728800: 2080-06-16 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3488752740: 2080-07-21 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3488752800: 2080-07-21 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3515968740: 2081-06-01 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3515968800: 2081-06-01 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3519597540: 2081-07-13 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3519597600: 2081-07-13 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3546813540: 2082-05-24 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3546813600: 2082-05-24 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
